lsf_node_global_index	parent_kind	parent_id	target_wavelength_um	lsf_node_index	lsf_node_wavelength_um	lsf_quadrature_weight	lsf_profile	target_resolving_power_R	model_input_representation	conversion_before_aggregation	aggregated_representation	source_segment	native_run_id	node_crosses_stitch_seam	stitch_seam_restriction_applied	scored_directly
0	continuum_support	h2o_continuum_blue_q20	2.5747747777204344	0	2.5734735113823457	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
1	continuum_support	h2o_continuum_blue_q20	2.5747747777204344	1	2.5741572476044041	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
2	continuum_support	h2o_continuum_blue_q20	2.5747747777204344	2	2.5747747777204344	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
3	continuum_support	h2o_continuum_blue_q20	2.5747747777204344	3	2.5753924559794905	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
4	continuum_support	h2o_continuum_blue_q20	2.5747747777204344	4	2.5760767020385162	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
5	continuum_support	h2o_continuum_blue_q50	2.6122960249124896	0	2.6109757956979753	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
6	continuum_support	h2o_continuum_blue_q50	2.6122960249124896	1	2.61166949575688	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
7	continuum_support	h2o_continuum_blue_q50	2.6122960249124896	2	2.6122960249124896	0.53333333333333333	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
8	continuum_support	h2o_continuum_blue_q50	2.6122960249124896	3	2.612922704369959	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
9	continuum_support	h2o_continuum_blue_q50	2.6122960249124896	4	2.6136169216954976	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
10	continuum_support	h2o_continuum_blue_q80	2.649991809092044	0	2.6486525287917937	0.011257411327720693	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
11	continuum_support	h2o_continuum_blue_q80	2.649991809092044	1	2.6493562390361665	0.2220759220056126	Gaussian_in_log_lambda_constant_resolving_power	2400	lambda_F_lambda_W_m-2	F_nu_Jy=lambda_F_lambda*lambda_um*1e20/c_m_s	F_nu_Jy	G235H	G235H_run01	False	False	False
